#TC_ID/PC_ID , Testcase_Description, Service_ID, SubService_ID, Expected_Response_Data, Write_Data, Addressing, Format, Status_Mask, Communication_Type, controltype
ECU_INFO-1 , S/W Version,0x22,0xF1DD,10 10 62 F1 DD 32 34 43 31 2E 30 31 2E 30 30 2E 30 30 AA AA AA AA,  ,Physical,Ascii,  ,  ,  
ECU_INFO-2 , B-CAN Version,0x22,0xF100,06 62 F1 00 24 05 01 AA,  ,Physical,Ascii,  ,  ,  
ECU_INFO-3 , Manufacturing Date,0x22,0xF18B,07 62 F1 8B 00 00 00 00,  ,Physical,Ascii,  ,  ,  
ECU_INFO-4 , ECU_Serial Number,0x22,0xF18C,10 23 62 F1 8C 00 00 00 00 00 00 00 00 00 00 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 AA AA AA AA AA AA,  ,Physical,Ascii,  ,  ,  
ECU_INFO-5 , H/W Version,0x22,0xF193,10 08 62 F1 93 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,Ascii,  ,  ,  
TC_ID-001 , Start default session,0x10,0x01,06 50 01 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-003 , Start Extended session,0x10,0x03,06 50 03 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-041 , Incorrect message length(No Read records)(19 0F),0x19,  ,03 7F 19 13 AA AA AA AA,  ,Physical,Hex,  ,  ,  
PC_ID-031 , Start Extended session,0x10,0x03,06 50 03 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-259 , PreCondition: PC_ID-031  Testcase:Read DTC Extended session(19 02) ,0x19,0x02,01 59 AA AA AA AA AA AA,  ,Physical,Hex,0x08,  ,  
TC_ID-260 , PreCondition: PC_ID-031  Testcase:Disable RxAndTx Extended session(28 00 ),0x28,0x00,02 68 00 AA AA AA AA AA,  ,Functional,Hex,  ,0x02,  
TC_ID-261 , PreCondition: PC_ID-031  Testcase:Disable RxAndTx Extended session(28 00 ),0x28,0x00,02 68 00 AA AA AA AA AA,  ,Functional,Hex,  ,0x03,  
TC_ID-262 , PreCondition: PC_ID-031  Testcase:EnableRxAndDisableTx Extended session(28 01) ,0x28,0x01,02 68 01 AA AA AA AA AA,  ,Functional,Hex,  ,0x02,  
TC_ID-263 , PreCondition: PC_ID-031  Testcase:EnableRxAndDisableTx Extended session(28 01) ,0x28,0x01,02 68 01 AA AA AA AA AA,  ,Functional,Hex,  ,0x03,  
TC_ID-264 , PreCondition: PC_ID-031  Testcase:DisableRxAndEnableTx Extended session(28 02) ,0x28,0x02,02 68 02 AA AA AA AA AA,  ,Functional,Hex,  ,0x02,  
TC_ID-265 , PreCondition: PC_ID-031  Testcase:DisableRxAndEnableTx Extended session(28 02) ,0x28,0x02,02 68 02 AA AA AA AA AA,  ,Functional,Hex,  ,0x03,  
TC_ID-266 , PreCondition: PC_ID-031  Testcase:DisableRxAndDisableTx Extended session(28 03) ,0x28,0x03,02 68 03 AA AA AA AA AA,  ,Functional,Hex,  ,0x02,  
TC_ID-267 , PreCondition: PC_ID-031  Testcase:DisableRxAndDisableTx Extended session(28 03) ,0x28,0x03,02 68 03 AA AA AA AA AA,  ,Functional,Hex,  ,0x03,  
TC_ID-279 , PreCondition: PC_ID-031  Testcase:Di RxAndTx Extended session(28 00 ),0x28,,02 68 00 AA AA AA AA AA,  ,Functional,Hex,  ,,  
