date Mon Aug 25 02:33:16.738 PM 2025
base hex  timestamps absolute
internal events logged
Begin Triggerblock Mon Aug 25 02:33:17.265 PM 2025
 0.000000 Start of measurement
 0.000000 1  ErrorFrame
 0.000082 1  ErrorFrame
 0.000297 1  ErrorFrame
 0.000559 1  ErrorFrame
 0.000767 1  ErrorFrame
 0.001051 1  ErrorFrame
 0.001287 1  ErrorFrame
 0.001489 1  ErrorFrame
 0.001976 1  ErrorFrame
 0.002003 1  ErrorFrame
 0.002024 1  ErrorFrame
 0.002042 1  ErrorFrame
 0.002369 1  ErrorFrame
 0.002395 1  ErrorFrame
 0.002947 1  ErrorFrame
 0.002975 1  ErrorFrame
 0.002991 1  ErrorFrame
 0.003017 1  ErrorFrame
 0.003552 1  ErrorFrame
 0.003595 1  ErrorFrame
 0.003611 1  ErrorFrame
 0.003886 1  ErrorFrame
 0.004159 1  ErrorFrame
 0.004520 1  ErrorFrame
 0.004557 1  ErrorFrame
 0.004760 1  ErrorFrame
 0.005315 1  ErrorFrame
 0.005352 1  ErrorFrame
 0.005367 1  ErrorFrame
 0.005740 1  ErrorFrame
 0.005772 1  ErrorFrame
 0.006132 1  ErrorFrame
 0.006170 1  ErrorFrame
 0.006479 1  ErrorFrame
 0.006504 1  ErrorFrame
 0.006864 1  ErrorFrame
 0.006884 1  ErrorFrame
 0.007118 1  ErrorFrame
 0.007499 1  ErrorFrame
 0.007529 1  ErrorFrame
 0.007877 1  ErrorFrame
 0.007903 1  ErrorFrame
 0.008232 1  ErrorFrame
 0.008261 1  ErrorFrame
 0.008487 1  ErrorFrame
 0.008704 1  ErrorFrame
 0.009244 1  ErrorFrame
 0.009269 1  ErrorFrame
 0.009289 1  ErrorFrame
 0.009642 1  ErrorFrame
 0.009670 1  ErrorFrame
 0.010014 1  ErrorFrame
 0.010043 1  ErrorFrame
 0.010258 1  ErrorFrame
 0.010463 1  ErrorFrame
 0.010655 1  ErrorFrame
 0.010865 1  ErrorFrame
 0.011211 1  ErrorFrame
 0.011231 1  ErrorFrame
 0.011440 1  ErrorFrame
 0.011618 1  ErrorFrame
 0.011842 1  ErrorFrame
 0.012178 1  ErrorFrame
 0.012207 1  ErrorFrame
 0.012419 1  ErrorFrame
 0.012594 1  ErrorFrame
 0.012821 1  ErrorFrame
 0.013362 1  ErrorFrame
 0.013399 1  ErrorFrame
 0.013416 1  ErrorFrame
 0.013778 1  ErrorFrame
 0.013799 1  ErrorFrame
 0.014160 1  ErrorFrame
 0.014193 1  ErrorFrame
 0.014742 1  ErrorFrame
 0.014777 1  ErrorFrame
 0.014792 1  ErrorFrame
 0.014980 1  ErrorFrame
 0.015346 1  ErrorFrame
 0.015375 1  ErrorFrame
 0.015583 1  ErrorFrame
 0.015757 1  ErrorFrame
 0.015965 1  ErrorFrame
 0.016165 1  ErrorFrame
 0.016347 1  ErrorFrame
 0.016550 1  ErrorFrame
 0.016763 1  ErrorFrame
 0.017154 1  ErrorFrame
 0.017181 1  ErrorFrame
 0.017366 1  ErrorFrame
 0.017721 1  ErrorFrame
 0.017756 1  ErrorFrame
 0.018085 1  ErrorFrame
 0.018113 1  ErrorFrame
 0.018335 1  ErrorFrame
 0.018724 1  ErrorFrame
 0.018747 1  ErrorFrame
 0.019098 1  ErrorFrame
 0.019131 1  ErrorFrame
 0.019478 1  ErrorFrame
 0.019511 1  ErrorFrame
 0.019875 1  ErrorFrame
 0.019907 1  ErrorFrame
 0.020283 1  ErrorFrame
 0.020312 1  ErrorFrame
 0.020930 1  ErrorFrame
 0.020965 1  ErrorFrame
 0.020990 1  ErrorFrame
 0.021259 1  ErrorFrame
 0.024650 1  ErrorFrame
 0.024726 1  ErrorFrame
 0.024745 1  ErrorFrame
 0.024786 1  ErrorFrame
 0.024803 1  ErrorFrame
 0.024828 1  ErrorFrame
 0.024933 1  ErrorFrame
 0.024974 1  ErrorFrame
 0.025001 1  ErrorFrame
 0.025018 1  ErrorFrame
 0.025036 1  ErrorFrame
 0.025060 1  ErrorFrame
 0.025080 1  ErrorFrame
 0.025106 1  ErrorFrame
 0.025124 1  ErrorFrame
 0.025142 1  ErrorFrame
 0.026603 1  ErrorFrame
 0.026685 1  ErrorFrame
 0.026749 1  ErrorFrame
 0.026763 1  ErrorFrame
 0.026782 1  ErrorFrame
 0.028186 1  ErrorFrame
 0.028291 1  ErrorFrame
 0.028309 1  ErrorFrame
 0.028342 1  ErrorFrame
 0.028361 1  ErrorFrame
 0.029394 1  ErrorFrame
 0.029514 1  ErrorFrame
 0.029529 1  ErrorFrame
 0.029544 1  ErrorFrame
 0.029952 CANFD   1 Tx        706                                   1 0 8  8 02 10 01 00 00 00 00 00        0    0     3000        0        0        0        0        0
 0.029969 1  ErrorFrame
 0.029988 1  ErrorFrame
 0.044408 CANFD   1 Rx        70E                                   1 0 8  8 06 50 01 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 10.231821 CANFD   1 Tx        706                                   1 0 8  8 02 10 01 00 00 00 00 00        0    0     3000        0        0        0        0        0
 10.255097 CANFD   1 Rx        70E                                   1 0 8  8 06 50 01 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
End TriggerBlock
