date Thu Jul 31 03:38:21.727 PM 2025
base hex  timestamps absolute
internal events logged
Begin Triggerblock Thu Jul 31 03:38:21.742 PM 2025
 0.000000 Start of measurement
 0.000000 CANFD   1 Tx        716                                   1 0 8  8 03 22 F1 DD 00 00 00 00        0    0     3000        0        0        0        0        0
 0.020415 CANFD   1 Rx        71E                                   1 0 8  8 10 0B 62 F1 DD 30 31 2E        0    0     3000        0        0        0        0        0
 0.027395 CANFD   1 Tx        716                                   1 0 8  8 30 08 64 00 00 00 00 00        0    0     3000        0        0        0        0        0
 0.030325 CANFD   1 Rx        71E                                   1 0 8  8 21 30 30 2E 30 31 AA AA        0    0     3000        0        0        0        0        0
 0.142433 CANFD   1 Tx        716                                   1 0 8  8 03 22 F1 00 00 00 00 00        0    0     3000        0        0        0        0        0
 2.209091 1  ErrorFrame
 2.209166 1  ErrorFrame
 2.209181 1  ErrorFrame
 2.209194 1  ErrorFrame
 2.210577 1  ErrorFrame
 2.210626 1  ErrorFrame
 2.210633 1  ErrorFrame
 2.210641 1  ErrorFrame
 2.210651 1  ErrorFrame
 2.210661 1  ErrorFrame
 2.210668 1  ErrorFrame
 2.210675 1  ErrorFrame
 2.210681 1  ErrorFrame
 2.210690 1  ErrorFrame
 2.210697 1  ErrorFrame
 2.210704 1  ErrorFrame
 2.210711 1  ErrorFrame
 2.210719 1  ErrorFrame
 2.211043 1  ErrorFrame
 2.211056 1  ErrorFrame
 2.211363 1  ErrorFrame
 2.211385 1  ErrorFrame
 3.237397 1  ErrorFrame
 4.307356 1  ErrorFrame
 4.307436 1  ErrorFrame
 4.308259 1  ErrorFrame
 4.308300 1  ErrorFrame
 4.308317 1  ErrorFrame
 4.308328 1  ErrorFrame
 4.308355 1  ErrorFrame
 4.308364 1  ErrorFrame
 4.308375 1  ErrorFrame
 4.309258 1  ErrorFrame
 4.309282 1  ErrorFrame
 4.309292 1  ErrorFrame
 4.309313 1  ErrorFrame
 4.309323 1  ErrorFrame
 4.309334 1  ErrorFrame
 4.309341 1  ErrorFrame
 4.309951 1  ErrorFrame
 4.309988 1  ErrorFrame
 5.317407 1  ErrorFrame
 6.386805 1  ErrorFrame
 6.386853 1  ErrorFrame
 6.386862 1  ErrorFrame
 6.386871 1  ErrorFrame
